device_id,customer_id,device_type,brand,model,serial_number,purchase_date,warranty_expiry,device_status
DEV00028,CUST04648,Router,Nokia,R935,SN68537212,2024-07-13,2026-10-04,In Use
DEV00029,CUST04364,WiFi Modem,Huawei,R662,SN97006025,2023-04-03,2027-11-06,In Stock
DEV00030,CUST02172,4G Dongle,Airtel,A652,SN57427132,2026-01-04,2027-11-09,In Stock
DEV00031,CUST02554,Set Top Box,Netgear,R629,SN72445344,2024-04-30,2027-06-16,Returned
DEV00032,CUST00992,WiFi Modem,D-Link,X446,SN63653550,2025-02-03,2028-11-01,In Use
DEV00033,CUST04820,4G Dongle,D-Link,A107,SN15898733,2024-06-15,2026-08-13,In Use
DEV00034,CUST00483,WiFi Modem,Nokia,X980,SN76290234,2024-07-29,2026-10-15,Faulty
DEV00035,CUST00581,4G Dongle,D-Link,N785,SN69549461,2022-10-16,2027-07-10,Returned
DEV00036,CUST01756,4G Dongle,Huawei,R348,SN20315782,2024-04-08,2028-06-20,Returned
DEV00037,CUST03335,WiFi Modem,Nokia,X774,SN51370724,2024-01-20,2026-12-02,Returned
DEV00038,CUST02903,Set Top Box,Airtel,R984,SN63293364,2023-07-03,2027-09-30,In Use
DEV00039,CUST00807,Router,Airtel,N919,SN20161037,2023-04-30,2026-11-01,In Use
DEV00040,CUST02037,WiFi Modem,D-Link,R243,SN15348244,2021-09-25,2029-01-09,Returned
DEV00041,CUST01504,Fiber ONT,Jio,A995,SN29055808,2022-10-01,2026-07-19,In Use
DEV00042,CUST03631,4G Dongle,Nokia,X767,SN65639984,2025-08-31,2028-10-17,Under Repair
DEV00043,CUST00121,Router,D-Link,A516,SN98536997,2022-12-14,2027-11-20,Returned
DEV00044,CUST03944,WiFi Modem,Airtel,X268,SN02130071,2022-05-23,2028-11-04,Returned
DEV00045,CUST00018,Set Top Box,TP-Link,R392,SN92400378,2022-09-08,2028-05-07,Returned
DEV00046,CUST04553,5G Router,Jio,A294,SN70337131,2023-05-22,2027-08-15,Faulty
DEV00047,CUST01784,Router,Cisco,N158,SN61930082,2025-01-10,2026-07-13,In Use
DEV00048,CUST04786,Set Top Box,Huawei,X620,SN22980242,2024-07-05,2028-04-13,In Use
DEV00049,CUST01523,Router,Nokia,A513,SN21643805,2021-10-08,2028-10-26,In Use
DEV00050,CUST04667,WiFi Modem,Cisco,X529,SN52677551,2023-10-16,2028-09-24,Under Repair
DEV00051,CUST04631,4G Dongle,Netgear,N309,SN97243095,2025-11-22,2029-05-02,Faulty
DEV00052,CUST01956,Fiber ONT,Airtel,A787,SN34119050,2026-01-22,2028-12-18,Faulty
DEV00053,CUST03746,Fiber ONT,Nokia,X569,SN89601305,2021-08-14,2028-02-06,Under Repair
DEV00054,CUST04613,Router,Nokia,A618,SN80910314,2026-01-13,2029-03-06,Faulty
DEV00055,CUST01086,Fiber ONT,Nokia,A478,SN47100515,2024-08-27,2026-07-05,Faulty
DEV00056,CUST01293,Set Top Box,TP-Link,X783,SN74621805,2026-04-24,2026-08-28,Under Repair
DEV00057,CUST02453,5G Router,Nokia,A370,SN57654513,2022-12-31,2026-09-02,In Use
DEV00058,CUST00877,5G Router,Huawei,N388,SN07500500,2022-01-08,2029-03-12,Under Repair
DEV00059,CUST01726,5G Router,Netgear,A803,SN05459056,2025-07-08,2027-11-16,Faulty
DEV00060,CUST04141,Set Top Box,TP-Link,X194,SN08876230,2026-06-23,2026-08-14,Returned
DEV00061,CUST02267,Router,Cisco,N889,SN94368435,2023-11-13,2027-09-27,In Stock
DEV00062,CUST02146,WiFi Modem,Jio,R674,SN37511025,2022-08-26,2027-10-07,In Use
DEV00063,CUST00917,Router,Huawei,X954,SN55575070,2024-03-07,2029-04-20,Faulty
DEV00064,CUST04772,4G Dongle,Huawei,R230,SN95523156,2021-12-30,2028-11-27,In Use
DEV00065,CUST02526,Fiber ONT,Cisco,N315,SN59655047,2025-06-08,2028-12-05,In Stock
DEV00066,CUST00843,Fiber ONT,Airtel,A342,SN59548524,2024-11-03,2026-10-31,In Stock
DEV00067,CUST01451,Set Top Box,Cisco,A854,SN48888462,2022-08-12,2028-03-07,Faulty
DEV00068,CUST03373,5G Router,D-Link,N263,SN27674250,2025-12-15,2026-11-05,In Use
DEV00069,CUST03134,Router,Jio,A304,SN65769591,2026-01-25,2027-02-28,Returned
DEV00070,CUST02865,Fiber ONT,D-Link,A124,SN47463979,2023-01-18,2028-02-10,In Stock
DEV00071,CUST03265,Fiber ONT,TP-Link,X891,SN07027806,2025-10-14,2026-12-22,Faulty
DEV00072,CUST02877,5G Router,Airtel,N128,SN78537704,2021-08-10,2027-08-12,In Use
DEV00073,CUST02140,WiFi Modem,TP-Link,X211,SN06819104,2023-10-21,2027-06-23,Under Repair
DEV00074,CUST03560,Fiber ONT,Netgear,R720,SN46343465,2025-02-16,2027-10-03,Under Repair
DEV00075,CUST00948,Set Top Box,D-Link,N145,SN31049784,2024-02-09,2028-12-01,Returned
DEV00076,CUST00014,4G Dongle,D-Link,N541,SN75013642,2024-08-10,2028-07-22,In Use
DEV00077,CUST02705,4G Dongle,Netgear,X837,SN53121915,2022-06-25,2028-02-23,Faulty
DEV00078,CUST04155,Fiber ONT,Airtel,N512,SN40367200,2021-10-27,2027-08-25,Faulty
DEV00079,CUST04542,WiFi Modem,D-Link,R780,SN94233654,2021-12-05,2027-06-07,Returned
DEV00080,CUST01426,4G Dongle,TP-Link,R661,SN01342668,2021-11-20,2028-07-15,In Use
DEV00081,CUST02490,Fiber ONT,D-Link,R904,SN54330320,2025-03-30,2027-02-12,Under Repair
DEV00082,CUST04970,5G Router,Netgear,R552,SN87122942,2026-06-13,2028-12-20,Returned
DEV00083,CUST01751,4G Dongle,Jio,A774,SN30128423,2022-03-03,2027-03-15,In Use
DEV00084,CUST02325,4G Dongle,Netgear,X938,SN87984621,2023-08-05,2028-08-03,In Stock
DEV00085,CUST02543,WiFi Modem,D-Link,A125,SN85505592,2025-02-05,2029-06-28,In Use
DEV00086,CUST02006,Set Top Box,Nokia,R524,SN78301218,2025-02-13,2029-01-07,Under Repair
DEV00087,CUST01593,5G Router,Airtel,R509,SN82175781,2021-09-22,2027-02-12,In Stock
DEV00088,CUST01209,5G Router,Cisco,X897,SN78159852,2022-07-16,2029-01-27,Returned
DEV00089,CUST01793,WiFi Modem,Jio,X670,SN73492128,2026-06-11,2027-09-10,In Stock
DEV00090,CUST00995,Set Top Box,Huawei,R783,SN01036971,2024-04-01,2027-02-24,Under Repair
DEV00091,CUST04579,4G Dongle,Netgear,R727,SN86337699,2025-02-07,2027-08-16,Under Repair
DEV00092,CUST03496,4G Dongle,Jio,A861,SN29391686,2025-08-06,2027-10-02,Returned
DEV00093,CUST03687,Fiber ONT,D-Link,N884,SN02359201,2026-04-30,2028-08-14,Under Repair
DEV00094,CUST03970,5G Router,D-Link,N550,SN41797442,2022-04-27,2028-02-20,In Use
DEV00095,CUST02341,WiFi Modem,TP-Link,N427,SN21290623,2021-09-05,2029-02-18,Under Repair
DEV00096,CUST00661,WiFi Modem,Huawei,A492,SN55207619,2024-06-23,2029-04-27,In Stock
DEV00097,CUST01753,Router,Airtel,R438,SN91972077,2024-12-12,2028-04-24,Under Repair
DEV00098,CUST03817,Set Top Box,Cisco,A952,SN77579066,2024-09-17,2027-05-30,Returned
DEV00099,CUST03191,4G Dongle,Cisco,R588,SN33124616,2023-01-20,2027-10-12,In Use
DEV00100,CUST02882,Fiber ONT,Airtel,R651,SN95005989,2022-10-05,2027-08-04,Under Repair
DEV00101,CUST04942,WiFi Modem,Jio,A379,SN53366238,2026-01-09,2028-04-22,Returned
DEV00102,CUST03979,Router,Airtel,N784,SN30413655,2024-02-22,2029-01-23,Returned
DEV00103,CUST01353,Set Top Box,Huawei,X503,SN83956949,2022-08-23,2026-07-14,Under Repair
DEV00104,CUST04624,5G Router,Cisco,X758,SN06113368,2021-12-19,2029-04-02,Returned
DEV00105,CUST01112,Set Top Box,Huawei,X366,SN95792703,2024-10-18,2027-06-02,Returned
DEV00106,CUST02682,WiFi Modem,Jio,N445,SN78554734,2024-07-12,2028-02-26,Returned
DEV00107,CUST02280,Set Top Box,TP-Link,X581,SN88904559,2024-08-18,2029-06-22,In Use
DEV00108,CUST04419,Router,Netgear,A765,SN40355078,2024-08-18,2027-05-14,In Use
DEV00109,CUST00330,Router,D-Link,A959,SN76356037,2024-07-14,2027-11-23,In Use
DEV00110,CUST01249,WiFi Modem,Huawei,R785,SN58996103,2021-11-21,2029-06-02,In Use
DEV00111,CUST04621,WiFi Modem,Jio,N885,SN09764753,2024-01-01,2028-11-13,Faulty
DEV00112,CUST01375,4G Dongle,Nokia,A418,SN22446212,2023-12-11,2027-11-29,In Use
DEV00113,CUST04741,Router,TP-Link,R506,SN48855802,2022-09-07,2028-05-16,In Stock
DEV00114,CUST00623,4G Dongle,D-Link,X813,SN46892830,2026-02-22,2028-05-03,Faulty
DEV00115,CUST04919,Router,Cisco,N645,SN83441471,2024-12-27,2029-06-06,Returned
DEV00116,CUST03036,Router,Netgear,X969,SN93983792,2026-04-10,2027-09-26,Returned
DEV00117,CUST04016,Router,Airtel,N750,SN70555160,2023-07-21,2029-06-23,Returned
DEV00118,CUST01254,Set Top Box,Huawei,N730,SN94004893,2025-11-10,2026-12-22,Under Repair
DEV00119,CUST03961,Set Top Box,Airtel,N430,SN28127166,2024-12-23,2026-10-26,In Stock
DEV00120,CUST00710,Fiber ONT,Jio,A868,SN57856989,2023-01-09,2026-12-01,Returned
DEV00121,CUST04669,4G Dongle,Airtel,N129,SN93692828,2021-09-09,2027-08-24,Returned
DEV00122,CUST02663,WiFi Modem,Jio,A463,SN89227187,2023-06-04,2029-05-10,Faulty
DEV00123,CUST02789,Fiber ONT,TP-Link,X629,SN55518075,2022-09-14,2028-05-29,In Stock
DEV00124,CUST00702,WiFi Modem,Airtel,R668,SN66659935,2025-07-16,2026-07-05,In Stock
DEV00125,CUST03901,5G Router,Jio,R911,SN58030161,2026-01-31,2027-04-25,In Use
DEV00126,CUST00763,Fiber ONT,D-Link,R808,SN64719900,2025-08-28,2027-03-09,In Stock
DEV00127,CUST02509,5G Router,Netgear,R666,SN18466425,2025-03-14,2027-03-11,Under Repair
DEV00128,CUST02817,Set Top Box,Netgear,N819,SN31151600,2021-10-02,2028-11-10,Returned
DEV00129,CUST02220,Fiber ONT,TP-Link,A223,SN71983920,2024-05-27,2027-03-15,In Stock
DEV00130,CUST02585,Router,Huawei,A321,SN04883460,2022-12-16,2027-12-27,Returned
DEV00131,CUST02266,5G Router,TP-Link,X952,SN50859480,2025-12-06,2027-07-15,In Stock
DEV00132,CUST02427,WiFi Modem,Netgear,A409,SN44357877,2024-05-26,2028-12-09,In Use
DEV00133,CUST04376,WiFi Modem,TP-Link,X155,SN72040328,2024-05-18,2028-01-31,Under Repair
DEV00134,CUST02394,5G Router,Huawei,R205,SN43947523,2021-10-01,2028-08-01,In Use
DEV00135,CUST04703,Fiber ONT,Jio,R551,SN20015902,2026-04-02,2028-03-12,Faulty
DEV00136,CUST01511,Router,TP-Link,R216,SN92910333,2025-07-14,2027-01-29,In Use
DEV00137,CUST03283,Set Top Box,Nokia,X255,SN12120896,2024-03-10,2026-08-18,In Stock
DEV00138,CUST04611,Fiber ONT,Nokia,A221,SN01940806,2025-09-10,2027-08-06,Under Repair
DEV00139,CUST03410,4G Dongle,D-Link,R561,SN32694962,2023-11-09,2027-07-25,Returned
DEV00140,CUST02436,4G Dongle,Airtel,N682,SN07096977,2025-02-12,2027-07-11,Under Repair
DEV00141,CUST00494,4G Dongle,Nokia,A740,SN66598299,2025-02-10,2029-04-12,In Stock
DEV00142,CUST02168,5G Router,Nokia,A345,SN94717743,2025-04-07,2028-01-15,In Stock
DEV00143,CUST04522,Router,Huawei,X518,SN12887323,2021-12-05,2026-11-22,Returned
DEV00144,CUST04865,Set Top Box,TP-Link,X337,SN56459069,2023-07-25,2027-03-23,Faulty
DEV00145,CUST02317,5G Router,Jio,X803,SN10004028,2021-07-22,2028-10-29,In Stock
DEV00146,CUST02168,5G Router,D-Link,R217,SN08834817,2025-11-30,2029-06-16,Under Repair
DEV00147,CUST01842,5G Router,Huawei,N946,SN34059455,2023-05-13,2027-11-10,In Stock
DEV00148,CUST00585,Router,Huawei,N709,SN53617274,2024-05-14,2028-08-28,Under Repair
DEV00149,CUST02365,Set Top Box,Nokia,R805,SN15088403,2021-11-08,2028-07-12,Faulty
DEV00150,CUST03298,Fiber ONT,Jio,R182,SN40491041,2023-10-27,2027-08-16,Under Repair
DEV00151,CUST00327,Set Top Box,Netgear,N126,SN49668897,2024-02-15,2027-03-20,In Use
DEV00152,CUST01876,5G Router,Cisco,N690,SN96418968,2025-11-23,2028-08-11,In Use
DEV00153,CUST01436,Set Top Box,Jio,N285,SN26186584,2021-11-24,2029-05-07,Under Repair
DEV00154,CUST03571,5G Router,Jio,X581,SN20983127,2025-06-04,2026-11-01,Faulty
DEV00155,CUST03346,Fiber ONT,Netgear,X978,SN31126428,2022-12-07,2029-03-30,In Stock
DEV00156,CUST02702,Set Top Box,Jio,N778,SN15573352,2022-08-05,2026-11-19,Returned
DEV00157,CUST04507,Router,Jio,X422,SN20455649,2022-12-11,2029-01-13,Faulty
DEV00158,CUST02649,Router,Airtel,X773,SN07891375,2023-10-16,2027-01-31,Under Repair
DEV00159,CUST03785,Set Top Box,Cisco,A630,SN20888325,2025-06-06,2028-08-17,Faulty
DEV00160,CUST04084,5G Router,Jio,X308,SN74348481,2025-05-10,2027-08-13,Faulty
DEV00161,CUST04500,WiFi Modem,TP-Link,R815,SN64562078,2026-01-19,2026-09-10,Returned
DEV00162,CUST00995,Router,D-Link,A418,SN68971575,2023-12-28,2029-04-25,Under Repair
DEV00163,CUST00113,4G Dongle,Airtel,X330,SN09787790,2022-06-05,2028-11-25,In Use
DEV00164,CUST03781,Router,Huawei,R833,SN49248301,2022-10-25,2028-11-29,Faulty
DEV00165,CUST04169,5G Router,TP-Link,R954,SN05855765,2024-09-16,2027-08-27,Returned
DEV00166,CUST03869,WiFi Modem,Jio,A492,SN65693762,2023-07-29,2028-01-03,In Stock
DEV00167,CUST04911,4G Dongle,Huawei,X382,SN90573534,2022-10-27,2029-03-13,Returned
DEV00168,CUST02785,4G Dongle,TP-Link,X389,SN01079830,2023-03-13,2027-09-13,Faulty
DEV00169,CUST04809,4G Dongle,Jio,A557,SN37048112,2024-09-26,2027-06-29,Under Repair
DEV00170,CUST03968,Fiber ONT,Netgear,R566,SN75257217,2024-02-18,2028-02-29,Faulty
DEV00171,CUST01546,5G Router,D-Link,R339,SN93102254,2021-09-03,2028-02-18,Returned
DEV00172,CUST00358,Fiber ONT,Jio,R495,SN52351371,2023-02-03,2028-11-17,In Stock
DEV00173,CUST04058,Router,Huawei,N990,SN05458441,2024-10-18,2027-04-18,In Use
DEV00174,CUST03607,Router,Jio,X839,SN26491324,2023-06-20,2028-01-13,In Stock
DEV00175,CUST03359,5G Router,Huawei,X580,SN71135649,2026-04-08,2027-10-02,Faulty
DEV00176,CUST02774,4G Dongle,Airtel,X972,SN75742473,2022-07-09,2027-06-19,Faulty
DEV00177,CUST04372,Set Top Box,Netgear,R993,SN52186126,2026-03-03,2027-01-27,Under Repair
DEV00178,CUST00295,4G Dongle,Nokia,A746,SN98600670,2025-04-06,2027-05-03,Faulty
DEV00179,CUST01864,5G Router,Nokia,R200,SN43030286,2023-08-09,2028-12-30,In Use
DEV00180,CUST03635,WiFi Modem,TP-Link,X147,SN91884166,2021-10-22,2027-01-21,Faulty
DEV00181,CUST00460,Fiber ONT,Netgear,N541,SN47913549,2023-03-16,2027-03-02,In Stock
DEV00182,CUST02001,4G Dongle,Airtel,A274,SN53926067,2025-04-01,2027-09-30,In Stock
DEV00183,CUST00647,4G Dongle,Airtel,A609,SN71747432,2022-06-01,2026-12-02,Under Repair
DEV00184,CUST01173,WiFi Modem,Jio,N570,SN84851876,2022-02-25,2029-03-29,Faulty
DEV00185,CUST00077,Set Top Box,TP-Link,A175,SN28005329,2022-04-10,2028-03-02,Returned
DEV00186,CUST02831,4G Dongle,TP-Link,R806,SN56079514,2022-10-16,2028-08-30,Faulty
DEV00187,CUST03743,Fiber ONT,D-Link,R973,SN56264318,2023-10-28,2028-12-21,Returned
DEV00188,CUST00874,WiFi Modem,Airtel,N688,SN96636117,2023-03-07,2027-01-15,Faulty
DEV00189,CUST02419,Router,Airtel,N108,SN30171803,2024-11-20,2028-10-18,Under Repair
DEV00190,CUST00402,4G Dongle,Jio,N894,SN40154731,2026-01-02,2028-11-02,In Stock
DEV00191,CUST04974,Fiber ONT,D-Link,A735,SN88276100,2022-05-31,2028-10-14,Faulty
DEV00192,CUST01121,5G Router,Nokia,X416,SN77654314,2022-04-15,2028-09-09,Returned
DEV00193,CUST00274,4G Dongle,Netgear,A192,SN32346433,2024-03-20,2028-11-16,Faulty
DEV00194,CUST02677,5G Router,Airtel,A305,SN04013145,2021-09-30,2028-09-10,In Stock
DEV00195,CUST04419,Fiber ONT,TP-Link,A363,SN49091595,2023-09-29,2026-11-09,Returned
DEV00196,CUST02418,5G Router,Netgear,X579,SN99497001,2026-02-11,2027-01-19,In Use
DEV00197,CUST01154,WiFi Modem,Airtel,N192,SN63830607,2024-09-23,2028-01-04,Returned
DEV00198,CUST00115,Fiber ONT,Nokia,R477,SN81583609,2022-08-22,2028-11-14,Faulty
DEV00199,CUST04789,Set Top Box,Netgear,X791,SN03365329,2021-10-27,2028-11-29,In Stock
DEV00200,CUST03863,Router,Netgear,A763,SN00140122,2024-06-12,2027-08-29,In Use
DEV00201,CUST03804,5G Router,TP-Link,R219,SN49107274,2021-08-07,2028-02-23,In Stock
DEV00202,CUST00372,Router,TP-Link,R218,SN53414566,2021-12-05,2029-06-08,In Use
DEV00203,CUST01924,4G Dongle,Huawei,R564,SN83895108,2022-03-09,2029-06-22,Faulty
DEV00204,CUST04426,Set Top Box,Huawei,R770,SN63126935,2022-01-20,2028-11-12,In Use
DEV00205,CUST04009,4G Dongle,Airtel,N133,SN04647194,2026-04-29,2028-09-22,Faulty
DEV00206,CUST01780,Set Top Box,Jio,A975,SN65573225,2025-05-31,2028-12-10,Faulty
DEV00207,CUST00814,5G Router,Netgear,N162,SN10133508,2022-11-25,2028-09-04,Returned
DEV00208,CUST02261,WiFi Modem,Nokia,R193,SN93521814,2026-01-25,2028-05-29,In Stock
DEV00209,CUST04892,Router,Cisco,N349,SN88101503,2023-12-18,2028-05-06,In Stock
DEV00210,CUST04626,WiFi Modem,Nokia,A700,SN08037284,2022-08-15,2028-05-10,In Stock
DEV00211,CUST01909,Fiber ONT,Huawei,X383,SN33798375,2025-05-29,2029-02-17,In Stock
DEV00212,CUST01065,4G Dongle,TP-Link,A212,SN89109011,2024-02-20,2027-12-04,In Use
DEV00213,CUST01080,Router,Netgear,A702,SN70231895,2023-08-24,2026-11-24,Faulty
DEV00214,CUST00130,WiFi Modem,TP-Link,X229,SN12028680,2022-03-16,2026-12-22,Returned
DEV00215,CUST04310,Router,Nokia,R559,SN98563831,2025-06-17,2026-12-29,Faulty
DEV00216,CUST04205,4G Dongle,Nokia,R615,SN94961890,2023-06-23,2028-10-20,In Stock
DEV00217,CUST00356,5G Router,TP-Link,R758,SN90304531,2023-08-30,2027-12-24,In Use
DEV00218,CUST00499,Set Top Box,Airtel,R802,SN06642335,2021-10-03,2026-07-21,In Use
DEV00219,CUST04017,5G Router,Jio,X182,SN29446813,2021-10-20,2027-06-14,Faulty
DEV00220,CUST04984,WiFi Modem,Nokia,A381,SN70438951,2024-12-15,2028-04-12,Under Repair
DEV00221,CUST04796,4G Dongle,Netgear,R711,SN18422425,2024-09-11,2029-01-17,Under Repair
DEV00222,CUST02416,Set Top Box,Airtel,X912,SN90980551,2022-02-07,2027-06-16,In Use
DEV00223,CUST04517,5G Router,D-Link,R562,SN72149142,2024-03-11,2028-09-13,In Stock
DEV00224,CUST03390,Fiber ONT,Jio,R525,SN46967874,2021-12-29,2026-08-17,In Use
DEV00225,CUST02561,Set Top Box,Netgear,N483,SN29474838,2022-12-17,2027-10-29,In Stock
DEV00226,CUST03886,Router,Nokia,X195,SN53449871,2023-01-16,2027-06-04,Returned
DEV00227,CUST00792,5G Router,Netgear,A669,SN24617806,2025-06-13,2029-01-30,In Use
DEV00228,CUST04805,4G Dongle,Netgear,X520,SN59194415,2023-06-25,2029-06-16,Faulty
DEV00229,CUST03465,5G Router,Cisco,N714,SN69193600,2026-01-04,2027-02-01,Faulty
DEV00230,CUST02881,Router,D-Link,A772,SN90117409,2021-09-25,2029-06-10,Returned
DEV00231,CUST01838,Router,Netgear,N217,SN89309366,2025-11-01,2027-07-05,Faulty
DEV00232,CUST04704,WiFi Modem,Airtel,X723,SN43138362,2024-04-26,2029-01-02,Faulty
DEV00233,CUST00238,WiFi Modem,TP-Link,N447,SN66835883,2022-01-10,2026-10-01,Faulty
DEV00234,CUST00051,WiFi Modem,Huawei,R171,SN02532706,2023-01-22,2029-06-24,In Stock
DEV00235,CUST00252,Router,D-Link,R529,SN20581415,2021-09-05,2029-05-08,Returned
DEV00236,CUST02793,WiFi Modem,Netgear,N838,SN44962389,2024-09-30,2028-08-08,Faulty
DEV00237,CUST04650,4G Dongle,Nokia,X259,SN80365382,2023-10-11,2027-01-16,In Stock
DEV00238,CUST00408,5G Router,Nokia,N553,SN78315587,2022-04-16,2028-04-16,Returned
DEV00239,CUST03979,4G Dongle,Jio,R379,SN58326201,2023-12-21,2027-05-02,In Stock
DEV00240,CUST04198,Router,Netgear,R213,SN46391684,2023-08-17,2028-02-05,Faulty
DEV00241,CUST04859,Set Top Box,TP-Link,X325,SN31185352,2024-01-06,2027-12-01,Returned
DEV00242,CUST04910,Router,Cisco,A408,SN91166709,2023-03-27,2028-02-23,In Stock
DEV00243,CUST01125,Fiber ONT,TP-Link,N222,SN65883280,2024-07-26,2029-01-27,In Use
DEV00244,CUST04075,5G Router,Airtel,A232,SN79504319,2026-03-05,2028-07-16,Returned
DEV00245,CUST04363,5G Router,D-Link,N173,SN47800440,2025-12-28,2026-12-13,Returned
DEV00246,CUST00347,Set Top Box,Cisco,R179,SN28459373,2024-12-07,2028-12-09,Faulty
DEV00247,CUST04717,Set Top Box,Airtel,R396,SN37394257,2022-04-11,2027-11-23,In Use
DEV00248,CUST03319,Router,Netgear,A920,SN67994135,2026-05-04,2027-01-07,Under Repair
DEV00249,CUST03770,5G Router,Netgear,X547,SN70700933,2022-08-26,2026-07-20,In Use
DEV00250,CUST01994,Set Top Box,Airtel,X505,SN45052970,2024-03-02,2028-12-17,Faulty
DEV00251,CUST02782,WiFi Modem,Netgear,A178,SN59334999,2024-11-08,2026-11-10,Under Repair
DEV00252,CUST00935,4G Dongle,D-Link,N459,SN34968843,2024-02-29,2028-07-13,In Stock
DEV00253,CUST01936,Router,Huawei,N302,SN72206749,2024-03-09,2027-06-04,In Stock
DEV00254,CUST04935,WiFi Modem,Nokia,A891,SN55752959,2022-10-12,2027-12-27,Returned
DEV00255,CUST03801,4G Dongle,Jio,N984,SN34366988,2022-08-20,2028-09-15,Faulty
DEV00256,CUST01237,Set Top Box,Nokia,R552,SN69707179,2025-06-01,2029-01-26,Faulty
DEV00257,CUST02251,4G Dongle,Cisco,N619,SN33983086,2023-03-06,2026-08-05,In Use
DEV00258,CUST02543,Set Top Box,Jio,X158,SN44407174,2024-10-22,2029-03-08,Faulty
DEV00259,CUST02352,Router,Nokia,R573,SN06005103,2024-11-20,2027-05-29,Under Repair
DEV00260,CUST04541,5G Router,Cisco,R929,SN89372523,2024-07-06,2029-06-12,Under Repair
DEV00261,CUST01543,Fiber ONT,Jio,A163,SN91541460,2022-10-14,2026-08-28,Returned
DEV00262,CUST00848,Fiber ONT,Nokia,A140,SN31799495,2025-09-02,2027-02-16,In Stock
DEV00263,CUST03587,Set Top Box,Huawei,N481,SN89600654,2025-08-31,2028-11-08,Faulty
DEV00264,CUST03174,Set Top Box,Netgear,X908,SN74765078,2023-01-26,2027-08-11,Faulty
DEV00265,CUST00540,Fiber ONT,Nokia,R390,SN60491936,2026-01-03,2026-08-30,Faulty
DEV00266,CUST04938,WiFi Modem,Netgear,X696,SN46853244,2023-08-23,2029-02-03,In Stock
DEV00267,CUST02866,Fiber ONT,Airtel,A709,SN58069558,2024-08-12,2028-10-23,In Use
DEV00268,CUST02537,4G Dongle,Airtel,N932,SN33190370,2025-07-24,2027-09-17,In Stock
DEV00269,CUST04313,Router,Airtel,N118,SN25336966,2023-03-03,2027-08-15,Faulty
DEV00270,CUST02531,WiFi Modem,D-Link,N884,SN51391286,2023-06-12,2028-01-25,Returned
DEV00271,CUST01573,WiFi Modem,Huawei,A179,SN60074415,2023-06-20,2027-08-11,Faulty
DEV00272,CUST00829,4G Dongle,Cisco,N997,SN10258295,2021-07-06,2028-07-30,Under Repair
