customer_id,request_id,complaint_category,complaint_description,complaint_date,status,resolution_notes,resolved_date
CUST00010,27,Recharge Failure,Eum qui tenetur laborum magni quis ipsum consectetur quis perspiciatis temporibus.,2025-03-30 11:51:53,Open,,
CUST00012,32,Call Drop,Veniam quia praesentium rem nam nihil aspernatur veritatis at temporibus praesentium.,2026-01-02 04:23:08,In Progress,,
CUST00013,33,Fiber Issue,Excepturi debitis aperiam odit tempore in occaecati.,2025-04-06 04:47:21,In Progress,,
CUST00015,38,Slow Internet,Eaque labore eum dicta et nihil eligendi placeat nobis fugiat beatae unde.,2025-09-16 10:44:46,Open,,
CUST00015,39,Call Drop,Sint esse cupiditate laudantium officiis adipisci ea provident magni ratione culpa veritatis.,2026-06-02 04:12:46,Resolved,Doloribus dignissimos voluptatibus minus cupiditate cupiditate sunt aperiam.,2026-06-09 04:12:46
CUST00016,41,Recharge Failure,Sint iure natus ea eligendi atque adipisci soluta magnam.,2025-08-11 01:13:36,Resolved,Recusandae velit ad voluptates placeat nam rem quibusdam placeat recusandae modi debitis.,2025-08-15 01:13:36
CUST00017,43,Plan Change,Ratione reiciendis non ad ducimus autem praesentium.,2024-08-01 02:28:42,Open,,
CUST00018,45,SIM Activation,Incidunt repudiandae qui architecto sed nam non.,2024-07-06 21:08:39,Closed,Quia suscipit iusto nihil dolorem quibusdam inventore assumenda ipsa.,2024-07-07 21:08:39
CUST00019,46,Slow Internet,Laborum occaecati recusandae a ut labore sed magni.,2025-11-04 06:40:45,In Progress,,
CUST00020,47,Billing Issue,Quisquam occaecati in nostrum hic recusandae.,2026-05-05 02:57:14,In Progress,,
CUST00021,48,Slow Internet,Nihil distinctio quis natus perspiciatis ipsam voluptate tempore nihil hic voluptate et.,2026-02-11 02:51:44,In Progress,,
CUST00023,50,Service Quality,Occaecati numquam culpa neque ipsam tempore.,2024-08-30 20:34:38,Resolved,Non illo pariatur corporis tempore fugiat sequi.,2024-09-03 20:34:38
CUST00024,51,Network Issue,Dignissimos dolorum aliquid officiis aut voluptates quis asperiores ipsa nostrum assumenda quos optio.,2026-06-17 19:34:12,Open,,
CUST00025,54,Billing Issue,Atque modi ullam modi accusamus non dignissimos accusantium reiciendis.,2025-01-16 18:52:28,Resolved,Amet deserunt odit corporis quos consequuntur sapiente aspernatur eaque totam voluptatum corrupti consectetur.,2025-01-23 18:52:28
CUST00025,55,Slow Internet,Commodi amet aliquam quae praesentium incidunt ipsa excepturi nostrum.,2026-05-08 03:19:32,Closed,Veritatis necessitatibus deleniti voluptatem velit ipsa minus placeat veniam hic ducimus ratione.,2026-05-15 03:19:32
CUST00026,59,Plan Change,Laudantium mollitia exercitationem nemo voluptas consectetur ipsum assumenda qui vitae minus quam.,2024-12-16 18:00:25,Open,,
CUST00027,61,Call Drop,Quia tenetur neque omnis cum ducimus eligendi minima dolorem quibusdam.,2025-02-28 22:27:03,Open,,
CUST00028,63,Recharge Failure,Impedit tenetur quia consequatur optio consequatur.,2026-06-03 01:37:03,Open,,
CUST00028,65,Network Issue,Nulla voluptate explicabo velit aliquam molestiae est harum velit quibusdam.,2025-12-07 03:52:19,In Progress,,
CUST00028,66,Billing Issue,Impedit pariatur laboriosam consectetur possimus harum.,2025-01-08 05:24:41,Closed,Minima tenetur ex optio fuga commodi animi nemo ea est voluptatibus praesentium quia.,2025-01-14 05:24:41
CUST00029,67,Plan Change,Labore explicabo quos esse ullam hic repellat quam.,2025-10-23 15:13:06,Closed,Dolorum itaque iure veniam commodi eligendi illo placeat repellendus eligendi laborum.,2025-10-29 15:13:06
CUST00029,68,Slow Internet,Quis quod eligendi reprehenderit numquam recusandae eligendi.,2025-10-12 11:36:34,In Progress,,
CUST00030,70,Network Issue,Sit iure incidunt ipsa esse aliquam accusantium praesentium facere est earum ab.,2025-04-08 01:10:35,Open,,
CUST00030,72,Recharge Failure,Aspernatur alias labore labore deserunt tenetur reprehenderit adipisci sapiente ex vero quos nostrum.,2025-09-17 10:00:23,Closed,Cum tempora beatae perferendis saepe iusto non praesentium iste reiciendis doloribus architecto iure rerum tempore sequi.,2025-09-19 10:00:23
CUST00031,73,Slow Internet,Voluptatem quis eum accusantium adipisci officia adipisci.,2025-07-25 13:38:05,Closed,Voluptatibus cupiditate similique facere provident illum ea consequatur autem placeat.,2025-07-29 13:38:05
CUST00032,75,Call Drop,Eveniet saepe occaecati consequatur corrupti iusto.,2025-12-04 18:11:22,Closed,Culpa ad animi natus expedita quas eaque molestias quo molestias ipsam praesentium.,2025-12-11 18:11:22
CUST00033,76,Recharge Failure,Temporibus optio tenetur ut labore veritatis repellat maxime itaque minima quia.,2025-03-27 10:05:39,Open,,
CUST00033,79,Billing Issue,Maxime inventore eum ab deserunt recusandae ex dolor laudantium vel aspernatur rerum.,2026-04-21 15:30:47,Open,,
CUST00034,80,Plan Change,Perferendis iste adipisci quia natus explicabo.,2024-11-13 01:18:38,In Progress,,
CUST00034,81,Billing Issue,Sint quam odio similique labore rem illum suscipit rem provident distinctio sequi.,2024-10-29 01:26:49,Closed,Esse animi libero beatae cumque repellendus eum quidem vel expedita sunt in aperiam eveniet dignissimos sit.,2024-10-31 01:26:49
CUST00035,82,Service Quality,Vel placeat omnis consectetur officiis assumenda vero ipsa deleniti cum.,2024-09-16 22:45:19,Resolved,Eligendi doloremque nesciunt est ex odio corporis beatae ducimus accusamus sit repellendus maxime sapiente doloremque.,2024-09-22 22:45:19
CUST00035,83,Fiber Issue,Quisquam nihil dignissimos voluptate expedita minima corrupti.,2026-06-27 12:03:21,Resolved,Maiores cumque accusamus optio reprehenderit animi inventore blanditiis vitae praesentium aliquam exercitationem aperiam accusantium eius aliquam.,2026-07-02 12:03:21
CUST00036,84,Service Quality,Corporis sequi aspernatur placeat fuga expedita architecto.,2024-11-26 02:52:01,Open,,
CUST00038,86,Recharge Failure,Placeat voluptatem laboriosam id quod quod inventore corrupti fuga at rerum.,2024-12-04 15:35:18,In Progress,,
CUST00038,87,Slow Internet,Voluptas et ex optio porro quibusdam nihil inventore suscipit sint.,2025-12-17 03:49:12,Open,,
CUST00038,89,Call Drop,Et nobis eligendi rem possimus molestias numquam vitae exercitationem minima rerum.,2026-04-27 08:28:10,Resolved,Molestiae amet dolore blanditiis commodi expedita neque velit suscipit soluta esse nesciunt.,2026-04-28 08:28:10
CUST00039,91,SIM Activation,Est at repudiandae voluptatem molestiae ea ut beatae quo nobis.,2024-11-09 02:09:04,Closed,Dolorum at voluptates cupiditate dolorum voluptatibus consequatur aliquid.,2024-11-13 02:09:04
CUST00039,92,Slow Internet,Optio adipisci ipsum tenetur incidunt ab quos expedita porro rem sint nisi.,2026-05-01 22:21:02,Resolved,Quasi sunt minima quod enim reiciendis repellendus a minima accusamus fugiat doloremque quas impedit temporibus numquam.,2026-05-06 22:21:02
CUST00040,93,Slow Internet,Quo repellat quia quibusdam tenetur quae consectetur ex expedita expedita voluptates quibusdam.,2024-09-22 14:37:27,Closed,Natus vero dolor minima voluptatibus ullam reiciendis dicta nemo.,2024-09-25 14:37:27
CUST00040,94,Billing Issue,Magnam similique voluptas ad aut rem officiis voluptatum ullam nulla nisi commodi.,2024-10-22 10:28:16,Closed,Eligendi inventore reprehenderit in architecto enim error numquam pariatur occaecati consequatur magni soluta.,2024-10-29 10:28:16
CUST00040,96,Call Drop,Non suscipit praesentium commodi vel quasi minus corrupti.,2026-05-30 08:37:42,Resolved,Saepe eaque officia exercitationem corporis id itaque a quod.,2026-06-06 08:37:42
CUST00042,100,Network Issue,Asperiores dolores ex possimus eius voluptas sed minima exercitationem nostrum.,2025-06-02 08:19:12,Open,,
CUST00042,101,Fiber Issue,Et cumque ut quidem earum quas alias sit nesciunt cupiditate.,2025-02-21 11:07:03,Closed,Fuga esse tempore assumenda corporis eligendi cumque.,2025-02-22 11:07:03
CUST00042,102,Recharge Failure,Distinctio minus labore laborum dicta dolores eveniet sequi doloribus in impedit earum.,2026-01-05 20:26:52,Closed,Eum blanditiis iure nihil praesentium reiciendis numquam pariatur incidunt veritatis odit quaerat et porro veniam.,2026-01-10 20:26:52
CUST00042,103,Recharge Failure,Nulla debitis incidunt soluta iure consectetur.,2024-09-14 23:19:22,Open,,
CUST00043,104,Call Drop,Nam modi vero nobis voluptate impedit ab autem laborum eum blanditiis.,2025-09-21 06:04:50,In Progress,,
CUST00043,106,Plan Change,Facilis repellat amet expedita eligendi labore odit quos vitae ex.,2025-08-17 03:58:04,In Progress,,
CUST00044,108,SIM Activation,Vel culpa error delectus animi veritatis modi nobis ad quo maxime doloribus quibusdam.,2024-12-24 03:32:40,Open,,
CUST00045,109,Network Issue,Blanditiis beatae rem aperiam vel nisi necessitatibus porro magni ad doloremque dolore doloremque.,2025-12-30 08:16:09,Closed,Dicta libero ab magni voluptate eligendi tenetur.,2026-01-06 08:16:09
CUST00047,111,Call Drop,Tempora assumenda minima porro dolor praesentium.,2025-12-14 14:34:39,In Progress,,
CUST00048,112,Billing Issue,Eligendi deserunt sapiente veniam voluptas aperiam possimus distinctio voluptatem commodi dolore animi.,2025-07-18 07:07:59,Resolved,Similique delectus accusantium iste voluptatibus exercitationem tempora.,2025-07-25 07:07:59
CUST00050,114,Recharge Failure,Odit nulla fugiat fugit incidunt tempore aliquid eos pariatur maxime illo eveniet voluptatem.,2024-12-04 09:44:50,Resolved,Explicabo eius quos alias dolorum accusantium quae quo consectetur labore veniam facere.,2024-12-10 09:44:50
CUST00050,115,Plan Change,Illo asperiores nam corporis accusantium autem porro esse perferendis aut itaque laborum dolore.,2025-11-27 05:15:31,Open,,
CUST00051,118,Billing Issue,Excepturi eligendi porro accusamus debitis officia cumque eius recusandae quo.,2026-03-27 22:22:49,Resolved,Dolorem recusandae sequi quaerat facilis ipsam itaque quidem voluptates praesentium.,2026-04-02 22:22:49
CUST00051,121,Network Issue,Unde autem esse ab aut perspiciatis repudiandae aspernatur.,2025-10-29 17:41:05,In Progress,,
CUST00052,122,Call Drop,Ab eius exercitationem quos in molestiae hic tenetur hic dolorum.,2025-03-14 18:02:13,In Progress,,
CUST00052,123,Network Issue,Repellendus ad facilis eos iusto rem odio fuga et aliquam itaque iure animi.,2024-07-01 21:38:51,In Progress,,
CUST00052,125,Slow Internet,Modi veniam saepe magni quas sapiente sapiente.,2025-04-11 17:42:11,Open,,
CUST00053,126,Fiber Issue,Dolorem placeat velit dolore architecto voluptates temporibus doloribus.,2025-12-15 01:09:55,Resolved,Nostrum pariatur sint tenetur excepturi dolore et deserunt vero animi.,2025-12-18 01:09:55
CUST00053,127,SIM Activation,Rerum eius exercitationem ex sequi dicta cumque molestias dolore non officia saepe.,2025-01-10 09:37:28,Open,,
CUST00053,129,Network Issue,Architecto recusandae iure fugiat culpa harum repellendus delectus similique.,2024-12-22 15:55:17,Resolved,Eius deleniti at numquam quod distinctio accusamus facere suscipit dolore magni quaerat blanditiis facilis.,2024-12-26 15:55:17
CUST00054,130,Call Drop,Vitae earum vel quasi illum explicabo animi sequi eum.,2025-05-01 03:12:37,Closed,Aliquid accusamus hic maiores exercitationem corporis est aspernatur voluptas.,2025-05-05 03:12:37
CUST00054,131,Slow Internet,Ullam vero rerum quo neque aut architecto.,2025-11-10 10:00:00,Closed,Esse quod minima officiis eum eaque at unde velit temporibus incidunt modi earum.,2025-11-17 10:00:00
CUST00054,132,Slow Internet,Asperiores qui laboriosam veritatis at corporis ex labore quae quidem fugit magnam ex.,2024-09-07 13:05:42,Closed,Explicabo molestias velit non itaque commodi modi laborum adipisci.,2024-09-12 13:05:42
CUST00055,134,Call Drop,Aut unde impedit molestiae voluptates consectetur non labore quam architecto repudiandae nobis vel repellat.,2024-11-01 09:08:54,Resolved,Distinctio accusantium expedita praesentium ut cumque earum vel corrupti occaecati mollitia.,2024-11-02 09:08:54
CUST00055,137,Slow Internet,Placeat nobis eius quasi magnam facere soluta.,2024-10-18 22:48:05,Resolved,Delectus reiciendis eligendi voluptas fugiat optio fugit.,2024-10-20 22:48:05
CUST00056,139,Call Drop,Est tenetur recusandae nemo vitae possimus rem officia ipsum.,2025-07-18 02:41:39,In Progress,,
CUST00057,141,Recharge Failure,Amet earum excepturi explicabo libero libero iure repellat nemo tempore quam delectus.,2025-04-25 00:46:26,Closed,Beatae perferendis maiores laudantium eligendi vel nobis harum inventore eaque tempore modi distinctio nam occaecati voluptatum.,2025-04-26 00:46:26
CUST00057,143,SIM Activation,Sunt corporis tenetur voluptatem aliquam adipisci corporis nam.,2024-07-15 04:56:05,Closed,Ex quo aliquam sit modi quasi ab molestias officia officia.,2024-07-18 04:56:05
CUST00058,144,Recharge Failure,Nemo cumque numquam ad sed amet velit dolore.,2025-05-11 18:06:01,Closed,Iste ex officiis et tenetur vero illum.,2025-05-16 18:06:01
CUST00059,147,Call Drop,Cumque similique omnis distinctio suscipit dolores enim consequuntur.,2025-09-17 10:47:04,In Progress,,
CUST00061,150,Network Issue,Voluptatum impedit ratione nihil labore explicabo.,2024-07-24 12:56:33,Resolved,Ipsa alias tempora accusamus cum repudiandae neque necessitatibus voluptatem sed voluptatum.,2024-07-27 12:56:33
CUST00062,151,Fiber Issue,Exercitationem quaerat ipsum est facilis quibusdam magni quas.,2026-05-22 09:26:12,Closed,Quisquam earum veniam necessitatibus asperiores eius nostrum nulla iusto.,2026-05-25 09:26:12
CUST00062,152,SIM Activation,Provident officia necessitatibus magnam sint eveniet aspernatur placeat impedit aliquam.,2025-09-06 19:38:48,Open,,
CUST00063,153,Billing Issue,At amet esse in vitae deserunt voluptatum autem temporibus similique voluptate.,2025-06-05 01:56:34,Open,,
CUST00063,154,SIM Activation,Fugit ad quae cum aperiam officia eos libero ad nemo nisi.,2025-01-17 15:51:22,In Progress,,
CUST00063,155,Fiber Issue,Nesciunt fugit id consequuntur labore porro eius.,2025-10-26 05:37:27,Open,,
CUST00064,157,Billing Issue,Optio esse quibusdam commodi libero enim.,2024-10-02 15:03:09,In Progress,,
CUST00065,160,Plan Change,Ducimus commodi nostrum cum eaque minus accusamus dolorum sapiente rem eveniet molestiae.,2026-05-19 19:30:18,In Progress,,
CUST00066,161,SIM Activation,Accusantium consequatur et culpa numquam quas iusto inventore ullam laborum neque atque quas natus.,2025-09-28 14:47:32,In Progress,,
CUST00067,164,Network Issue,Nulla vel excepturi numquam qui vel dolorem.,2024-11-07 11:43:20,Resolved,Veniam vero nobis eveniet neque saepe quis.,2024-11-11 11:43:20
CUST00068,165,Service Quality,Dicta dolores debitis nulla facere incidunt explicabo amet laudantium aut labore.,2025-12-18 18:51:45,Closed,Perspiciatis temporibus natus magni deleniti vel soluta neque sequi.,2025-12-19 18:51:45
CUST00068,166,Billing Issue,Alias ex doloremque numquam eos molestiae reiciendis eos voluptatibus labore reiciendis.,2025-04-08 15:43:29,In Progress,,
CUST00069,167,Billing Issue,Recusandae libero rem repellat beatae voluptatum suscipit nulla quidem blanditiis.,2025-04-13 17:13:05,Open,,
CUST00070,171,SIM Activation,Iste sed cumque recusandae aliquam voluptatibus nihil vero.,2025-10-10 11:09:31,In Progress,,
CUST00071,172,Service Quality,Commodi fugiat nisi voluptatum consequatur voluptates voluptate eveniet iure.,2026-06-20 17:04:26,Resolved,Fuga perferendis illum illum culpa molestiae aut quaerat dicta quisquam incidunt.,2026-06-26 17:04:26
CUST00073,175,Call Drop,Odit dolores odit illum esse molestiae vero.,2024-10-03 08:27:35,Open,,
CUST00074,176,SIM Activation,Odit officia dolore earum impedit numquam hic.,2025-07-18 00:08:50,Resolved,Labore quasi est temporibus quam illum aspernatur voluptatem officia omnis excepturi adipisci.,2025-07-24 00:08:50
CUST00074,177,Billing Issue,Sint expedita illum repudiandae tenetur ad atque pariatur id doloremque error id.,2026-01-30 01:54:48,In Progress,,
CUST00074,178,Fiber Issue,Et iste non provident est est tempore delectus modi consequuntur reiciendis.,2025-12-09 16:20:18,Closed,Voluptate tempore provident eaque in omnis labore atque numquam quod.,2025-12-13 16:20:18
CUST00075,179,Plan Change,Placeat consequuntur delectus eos nihil illo.,2026-01-07 04:43:40,In Progress,,
CUST00075,180,Call Drop,Amet reiciendis quibusdam delectus corporis sint.,2026-03-20 05:47:16,Resolved,Minima assumenda temporibus iste iure ea ipsa deserunt error expedita corporis quas et quaerat molestias.,2026-03-25 05:47:16
CUST00076,182,Network Issue,Accusantium quod quaerat quibusdam doloribus nemo.,2025-12-29 02:05:41,Closed,Reiciendis non ex hic accusamus nemo vero libero amet eaque mollitia sed corporis iure quibusdam.,2025-12-30 02:05:41
CUST00076,183,Service Quality,Magni animi voluptas rerum recusandae id quisquam.,2024-09-29 10:04:16,In Progress,,
CUST00076,184,Call Drop,Nemo fuga eum alias quas rerum nemo at itaque mollitia velit pariatur.,2026-01-22 14:49:35,Resolved,Deserunt est qui odit dolor vitae vel sit suscipit repudiandae aspernatur deleniti eius molestiae.,2026-01-25 14:49:35
CUST00077,186,Recharge Failure,Iure impedit expedita nisi incidunt incidunt repellendus earum rerum eaque voluptates dolores.,2026-01-10 10:00:12,Resolved,Cumque aliquam doloremque at aliquam deleniti voluptatem rem nihil hic.,2026-01-13 10:00:12
CUST00078,187,Network Issue,Nam qui explicabo sunt voluptates mollitia occaecati exercitationem impedit expedita quibusdam.,2025-11-07 23:45:18,Closed,Vel fugiat est cumque in accusantium aperiam similique temporibus repellendus est at suscipit asperiores.,2025-11-09 23:45:18
CUST00079,190,Network Issue,Totam officia veniam explicabo qui dolore ducimus nemo.,2025-12-26 20:29:01,Open,,
CUST00079,191,Network Issue,Soluta similique fugiat assumenda doloremque ab magni.,2025-11-04 14:34:59,Resolved,Perferendis deserunt repudiandae necessitatibus rem laboriosam velit pariatur neque consequuntur eum cupiditate numquam cupiditate rem facere.,2025-11-07 14:34:59
CUST00080,193,Service Quality,Exercitationem recusandae enim dolorem rerum cum pariatur facere maiores reiciendis recusandae est.,2024-07-05 08:21:06,Closed,Itaque fugit alias explicabo sit modi laudantium eos optio quam odio natus.,2024-07-06 08:21:06
CUST00080,194,Fiber Issue,Voluptatum sapiente quasi ipsam ea corporis.,2025-12-21 17:16:07,In Progress,,
CUST00080,195,Fiber Issue,Impedit vero quae omnis deleniti deleniti suscipit ut praesentium distinctio distinctio.,2025-05-07 01:36:24,Closed,Recusandae libero corporis consequatur officia ad debitis nisi nemo consectetur officia tenetur labore.,2025-05-12 01:36:24
CUST00081,196,Slow Internet,Omnis placeat tempore labore maiores occaecati.,2025-03-26 13:03:36,Resolved,Saepe natus natus magnam excepturi delectus quos odio accusantium ullam consequatur ducimus numquam iure blanditiis.,2025-03-29 13:03:36
CUST00081,197,Network Issue,Quas cupiditate cum animi officiis nobis vel quod quo aperiam.,2024-11-07 12:36:11,In Progress,,
CUST00082,199,Call Drop,Iure consectetur voluptatibus error et totam.,2025-09-30 00:17:44,Closed,Doloremque dolorem eum delectus facere libero culpa quibusdam nesciunt.,2025-10-03 00:17:44
CUST00083,202,Plan Change,Iure iste vel iste nostrum eos quae ipsa rerum sapiente quod iste.,2024-11-05 07:43:15,Closed,Magnam quos rerum laudantium fugit dolorem laborum laboriosam id iusto.,2024-11-11 07:43:15
CUST00084,203,Plan Change,Repellendus voluptate ea corporis praesentium doloremque amet consequuntur expedita laudantium.,2026-01-05 07:52:38,Resolved,Sunt repellat commodi ipsa eveniet velit ipsam dolorum sunt.,2026-01-08 07:52:38
CUST00085,204,Call Drop,Incidunt facere quos reiciendis dignissimos ut vitae magni deleniti.,2026-01-16 17:11:31,Resolved,Accusamus inventore vero cum ad ea accusamus consequuntur quam consequuntur eveniet.,2026-01-23 17:11:31
CUST00085,205,SIM Activation,Ullam at vel deleniti expedita consectetur aperiam fuga.,2024-07-07 21:40:04,Open,,
CUST00086,206,Billing Issue,Quasi inventore veniam accusantium nihil iure mollitia.,2025-03-14 22:33:08,Open,,
CUST00087,208,Network Issue,Tempore libero dolor cum quasi impedit aperiam nulla animi ipsam.,2026-06-20 05:28:55,Open,,
CUST00088,209,Slow Internet,Temporibus sed architecto omnis dolor sit nobis et necessitatibus ab.,2025-07-23 11:11:39,In Progress,,
CUST00088,210,Plan Change,Modi ea optio facere officia quae ducimus earum molestias facere quas.,2024-10-07 19:43:31,Closed,Iure sapiente quia pariatur harum voluptatum perspiciatis vel possimus distinctio provident.,2024-10-10 19:43:31
CUST00088,211,Recharge Failure,Vero odio voluptates culpa fuga voluptatibus cupiditate commodi.,2025-09-19 19:24:46,Resolved,Non eos voluptatibus dolorem ipsam id harum aspernatur voluptate quis est sunt.,2025-09-24 19:24:46
CUST00088,212,Network Issue,Dolorum laudantium officiis optio impedit earum.,2025-01-03 12:46:50,Closed,Suscipit illum eum sit magnam voluptas velit voluptatibus deserunt maxime culpa ipsum velit ipsa maiores aliquam.,2025-01-10 12:46:50
CUST00089,213,Recharge Failure,Natus debitis cum ad autem accusamus facere natus incidunt magni nobis et.,2026-04-14 18:10:17,Resolved,Illum consectetur eius ratione delectus dolorum expedita hic ipsum expedita aliquid sed quia eius reiciendis.,2026-04-21 18:10:17
CUST00090,214,Recharge Failure,Fugit vel similique adipisci quia ad quo fuga quia dolor vero voluptatum dolores.,2024-07-22 05:19:06,Open,,
CUST00091,219,Fiber Issue,Nobis quasi facilis culpa perferendis voluptas nisi.,2024-10-19 19:55:13,Open,,
CUST00091,220,Plan Change,Commodi culpa numquam in suscipit voluptates labore commodi quia minus.,2024-07-26 17:25:18,In Progress,,
CUST00093,225,Call Drop,Quis dignissimos quidem reiciendis facilis voluptatum corporis facere at nisi dicta voluptas.,2024-10-04 15:04:32,Closed,Eos itaque molestias voluptate eius blanditiis temporibus iste magnam aperiam maiores numquam inventore.,2024-10-08 15:04:32
CUST00094,226,Plan Change,Rerum rem labore voluptatum molestias repellendus facilis quisquam eveniet ex ratione voluptas ex.,2024-09-05 14:50:51,Resolved,Molestias ratione veniam nobis necessitatibus fuga quidem fuga beatae aut vero nesciunt.,2024-09-12 14:50:51
CUST00094,227,SIM Activation,Laudantium non ipsa commodi itaque harum distinctio nulla deleniti exercitationem dignissimos itaque consectetur.,2025-10-07 20:09:13,Closed,Nobis aliquid quidem quasi sequi ab reiciendis tempora.,2025-10-12 20:09:13
CUST00094,228,Network Issue,Quisquam recusandae tenetur quisquam non vitae veritatis a.,2024-10-05 02:20:39,In Progress,,
CUST00096,232,Fiber Issue,Aliquid placeat incidunt exercitationem impedit quaerat asperiores nam ipsum occaecati odio porro.,2025-05-19 08:14:03,Closed,Cupiditate quae totam modi iusto rerum libero quisquam corrupti dolore.,2025-05-21 08:14:03
CUST00096,233,Service Quality,Vero dolorum eaque voluptatem adipisci tempora a.,2024-09-17 02:17:55,In Progress,,
CUST00096,234,Service Quality,Accusantium reprehenderit nihil perferendis inventore quis nam aperiam.,2024-10-21 09:53:31,Resolved,Libero nostrum voluptate consequuntur iure debitis veniam magni veritatis consequuntur aliquam enim vitae.,2024-10-23 09:53:31
CUST00097,235,Billing Issue,Quibusdam animi vero dolorem repellat eum eveniet.,2026-04-12 10:45:35,Open,,
CUST00097,236,Slow Internet,Impedit nisi velit libero magni modi corporis temporibus tempore quis.,2024-08-16 15:53:41,Closed,Mollitia iste non quisquam at mollitia totam id mollitia expedita praesentium.,2024-08-21 15:53:41
CUST00097,237,Fiber Issue,At deserunt eius voluptas quidem ea magni.,2025-05-22 20:00:51,Open,,
CUST00098,238,Slow Internet,Error aliquid beatae perspiciatis tempore recusandae facilis exercitationem in sapiente dolorum officia aliquid.,2026-05-01 05:13:17,In Progress,,
CUST00098,240,Call Drop,Optio reprehenderit placeat vel accusamus amet unde tempore cum placeat.,2025-01-13 02:23:06,Closed,Dolorem aperiam officia debitis quod modi quos nemo nulla nulla corrupti dolor iure voluptas nesciunt dolore.,2025-01-17 02:23:06
CUST00098,241,Fiber Issue,Ipsam consequatur similique nemo asperiores quas doloremque eum id eveniet possimus.,2025-10-14 10:31:04,Resolved,Laudantium ut nobis delectus ut amet labore magni inventore laborum.,2025-10-17 10:31:04
CUST00099,242,Call Drop,Officiis consequatur vero eos accusantium nostrum provident similique.,2025-02-15 20:01:20,Closed,Ea dicta similique sequi consequuntur vero rem soluta qui velit blanditiis distinctio itaque architecto odit.,2025-02-19 20:01:20
CUST00100,243,Billing Issue,Temporibus vitae voluptate quaerat numquam quam voluptatem perferendis voluptatibus.,2025-02-12 08:24:49,Open,,
CUST00102,247,SIM Activation,Nam quibusdam exercitationem est quaerat fugiat et error fugit.,2025-05-02 00:49:36,In Progress,,
CUST00102,248,Billing Issue,Sequi ratione dolor totam ab tenetur culpa debitis possimus temporibus aut.,2026-05-30 05:08:56,Closed,Quae magni hic commodi quasi reprehenderit reiciendis maxime expedita.,2026-06-01 05:08:56
CUST00102,249,Service Quality,Nesciunt harum occaecati laboriosam quo incidunt illum hic odio placeat id temporibus officia.,2025-04-15 19:03:59,In Progress,,
CUST00102,250,Billing Issue,A perferendis repellat numquam quae eos assumenda quia dignissimos doloribus porro.,2025-05-03 14:08:34,Closed,Adipisci corrupti odio eos quidem aspernatur totam alias perspiciatis perspiciatis corporis beatae delectus.,2025-05-08 14:08:34
CUST00103,251,Plan Change,Optio ipsa itaque dolore doloremque quisquam error.,2025-03-22 05:54:04,Resolved,Perferendis labore quas aliquam asperiores ratione doloribus odio.,2025-03-24 05:54:04
CUST00103,253,Slow Internet,Eius voluptatum et tempora recusandae ipsa.,2025-07-23 20:57:31,Open,,
