customer_id,connection_number,broadband_plan,connection_type,speed_mbps,installation_date,status
CUST01963,BB00000031,Fiber 499,Fiber,40,2024-04-01,Suspended
CUST00394,BB00000032,Fiber 799,Fiber,150,2025-02-26,Active
CUST04843,BB00000033,Fiber 699,Fiber,100,2022-09-30,Suspended
CUST04867,BB00000034,Fiber 799,Fiber,150,2023-10-28,Active
CUST01756,BB00000035,Fiber 999,Fiber,200,2024-05-07,Active
CUST02516,BB00000036,Fiber 2499,Fiber,1000,2021-12-30,Suspended
CUST03586,BB00000037,Fiber 999,Fiber,200,2023-12-27,Inactive
CUST04316,BB00000038,Fiber 499,Fiber,40,2025-05-10,Inactive
CUST04967,BB00000039,Fiber 699,Fiber,100,2025-03-07,Suspended
CUST02100,BB00000040,Fiber 1499,Fiber,300,2022-06-05,Active
CUST03600,BB00000041,Fiber 699,Fiber,100,2023-03-11,Suspended
CUST04122,BB00000042,Fiber 799,Fiber,150,2024-05-25,Suspended
CUST00030,BB00000043,Fiber 799,Fiber,150,2023-03-03,Inactive
CUST00066,BB00000044,Fiber 1499,Fiber,300,2025-11-23,Active
CUST00839,BB00000045,Fiber 999,Fiber,200,2022-04-09,Suspended
CUST03907,BB00000046,Fiber 2499,Fiber,1000,2025-03-21,Active
CUST03774,BB00000047,Fiber 999,Fiber,200,2025-05-28,Active
CUST04636,BB00000048,Fiber 1499,Fiber,300,2022-04-20,Inactive
CUST03162,BB00000049,Fiber 699,Fiber,100,2021-08-24,Active
CUST02660,BB00000050,Fiber 1999,Fiber,500,2024-02-29,Suspended
CUST04616,BB00000051,Fiber 499,Fiber,40,2021-12-28,Inactive
CUST04629,BB00000052,Fiber 1499,Fiber,300,2024-11-29,Inactive
CUST02452,BB00000053,Fiber 499,Fiber,40,2025-11-25,Suspended
CUST02847,BB00000054,Fiber 1499,Fiber,300,2023-01-02,Active
CUST01145,BB00000055,Fiber 499,Fiber,40,2024-10-11,Inactive
CUST03079,BB00000056,Fiber 799,Fiber,150,2025-05-15,Inactive
CUST01104,BB00000057,Fiber 699,Fiber,100,2023-02-11,Suspended
CUST00169,BB00000058,Fiber 499,Fiber,40,2026-03-20,Suspended
CUST01671,BB00000059,Fiber 799,Fiber,150,2026-03-14,Inactive
CUST02571,BB00000060,Fiber 1499,Fiber,300,2022-09-24,Active
CUST02378,BB00000061,Fiber 2499,Fiber,1000,2025-02-06,Suspended
CUST04396,BB00000062,Fiber 999,Fiber,200,2022-09-22,Inactive
CUST04258,BB00000063,Fiber 499,Fiber,40,2024-06-20,Active
CUST03863,BB00000064,Fiber 1999,Fiber,500,2024-02-05,Active
CUST00024,BB00000065,Fiber 699,Fiber,100,2022-08-06,Suspended
CUST02634,BB00000066,Fiber 699,Fiber,100,2025-03-15,Active
CUST03341,BB00000067,Fiber 999,Fiber,200,2025-02-02,Suspended
CUST02216,BB00000068,Fiber 699,Fiber,100,2023-10-28,Inactive
CUST03683,BB00000069,Fiber 699,Fiber,100,2022-05-14,Inactive
CUST04725,BB00000070,Fiber 1499,Fiber,300,2024-04-11,Inactive
CUST01908,BB00000071,Fiber 499,Fiber,40,2023-02-09,Inactive
CUST00085,BB00000072,Fiber 999,Fiber,200,2022-03-11,Suspended
CUST00228,BB00000073,Fiber 1999,Fiber,500,2023-11-02,Inactive
CUST00297,BB00000074,Fiber 499,Fiber,40,2024-05-12,Suspended
CUST01002,BB00000075,Fiber 499,Fiber,40,2025-11-25,Suspended
CUST02139,BB00000076,Fiber 1499,Fiber,300,2025-10-10,Active
CUST00712,BB00000077,Fiber 1499,Fiber,300,2026-01-21,Suspended
CUST02802,BB00000078,Fiber 499,Fiber,40,2025-09-02,Suspended
CUST02528,BB00000079,Fiber 2499,Fiber,1000,2026-06-22,Inactive
CUST03753,BB00000080,Fiber 999,Fiber,200,2026-04-02,Inactive
CUST03322,BB00000081,Fiber 2499,Fiber,1000,2022-02-04,Inactive
CUST03182,BB00000082,Fiber 2499,Fiber,1000,2021-09-14,Inactive
CUST04184,BB00000083,Fiber 1499,Fiber,300,2023-09-15,Active
CUST01616,BB00000084,Fiber 1499,Fiber,300,2022-03-28,Active
CUST03025,BB00000085,Fiber 799,Fiber,150,2022-12-03,Inactive
CUST01414,BB00000086,Fiber 499,Fiber,40,2024-10-05,Active
CUST00764,BB00000087,Fiber 1999,Fiber,500,2025-07-09,Inactive
CUST00656,BB00000088,Fiber 1499,Fiber,300,2026-02-21,Active
CUST04798,BB00000089,Fiber 999,Fiber,200,2025-12-30,Inactive
CUST03850,BB00000090,Fiber 699,Fiber,100,2024-11-04,Active
CUST04154,BB00000091,Fiber 1999,Fiber,500,2022-04-05,Active
CUST00469,BB00000092,Fiber 1999,Fiber,500,2024-03-07,Active
CUST00158,BB00000093,Fiber 799,Fiber,150,2024-06-19,Active
CUST01296,BB00000094,Fiber 1499,Fiber,300,2022-08-08,Inactive
CUST00498,BB00000095,Fiber 799,Fiber,150,2023-06-04,Active
CUST04741,BB00000096,Fiber 1999,Fiber,500,2022-01-30,Active
CUST02941,BB00000097,Fiber 999,Fiber,200,2023-12-10,Inactive
CUST03457,BB00000098,Fiber 1499,Fiber,300,2024-11-30,Inactive
CUST00374,BB00000099,Fiber 799,Fiber,150,2021-10-16,Inactive
CUST00080,BB00000100,Fiber 1499,Fiber,300,2025-03-08,Suspended
CUST01554,BB00000101,Fiber 1499,Fiber,300,2023-01-14,Suspended
CUST01670,BB00000102,Fiber 499,Fiber,40,2026-01-22,Suspended
CUST02132,BB00000103,Fiber 699,Fiber,100,2025-09-21,Active
CUST04440,BB00000104,Fiber 799,Fiber,150,2023-01-27,Active
CUST00466,BB00000105,Fiber 999,Fiber,200,2022-12-24,Inactive
CUST00249,BB00000106,Fiber 999,Fiber,200,2023-10-18,Active
CUST00932,BB00000107,Fiber 2499,Fiber,1000,2021-08-21,Active
CUST01336,BB00000108,Fiber 699,Fiber,100,2023-05-26,Suspended
CUST04525,BB00000109,Fiber 699,Fiber,100,2024-11-07,Inactive
CUST01339,BB00000110,Fiber 1499,Fiber,300,2026-05-07,Active
CUST01407,BB00000111,Fiber 1999,Fiber,500,2026-04-23,Active
CUST01091,BB00000112,Fiber 799,Fiber,150,2025-02-23,Active
CUST04210,BB00000113,Fiber 2499,Fiber,1000,2025-10-26,Suspended
CUST00743,BB00000114,Fiber 1499,Fiber,300,2024-03-02,Inactive
CUST02324,BB00000115,Fiber 1999,Fiber,500,2022-12-12,Suspended
CUST03602,BB00000116,Fiber 799,Fiber,150,2023-12-29,Suspended
CUST02124,BB00000117,Fiber 499,Fiber,40,2026-04-05,Active
CUST02095,BB00000118,Fiber 1999,Fiber,500,2022-01-02,Suspended
CUST00241,BB00000119,Fiber 2499,Fiber,1000,2021-08-15,Inactive
CUST02352,BB00000120,Fiber 1499,Fiber,300,2025-12-26,Active
CUST01371,BB00000121,Fiber 1499,Fiber,300,2022-03-19,Active
CUST01058,BB00000122,Fiber 499,Fiber,40,2025-06-16,Inactive
CUST04817,BB00000123,Fiber 999,Fiber,200,2022-04-20,Inactive
CUST00200,BB00000124,Fiber 1999,Fiber,500,2024-04-20,Inactive
CUST02281,BB00000125,Fiber 1999,Fiber,500,2025-02-22,Inactive
CUST04750,BB00000126,Fiber 499,Fiber,40,2022-09-20,Suspended
CUST02221,BB00000127,Fiber 1499,Fiber,300,2026-05-30,Suspended
CUST04772,BB00000128,Fiber 799,Fiber,150,2023-08-13,Inactive
CUST02820,BB00000129,Fiber 499,Fiber,40,2023-02-02,Suspended
CUST03151,BB00000130,Fiber 1999,Fiber,500,2023-07-20,Active
CUST04257,BB00000131,Fiber 799,Fiber,150,2024-06-06,Inactive
CUST03108,BB00000132,Fiber 1499,Fiber,300,2023-10-12,Inactive
CUST01974,BB00000133,Fiber 799,Fiber,150,2022-10-14,Active
CUST01376,BB00000134,Fiber 1999,Fiber,500,2025-06-05,Inactive
CUST03969,BB00000135,Fiber 2499,Fiber,1000,2022-12-20,Active
CUST04063,BB00000136,Fiber 699,Fiber,100,2022-04-05,Suspended
CUST04446,BB00000137,Fiber 2499,Fiber,1000,2023-12-10,Active
CUST03558,BB00000138,Fiber 1999,Fiber,500,2023-09-23,Inactive
CUST00965,BB00000139,Fiber 799,Fiber,150,2022-12-31,Inactive
CUST00180,BB00000140,Fiber 2499,Fiber,1000,2023-02-26,Inactive
CUST03699,BB00000141,Fiber 2499,Fiber,1000,2024-04-08,Suspended
CUST03822,BB00000142,Fiber 1999,Fiber,500,2023-09-01,Suspended
CUST04879,BB00000143,Fiber 999,Fiber,200,2023-05-04,Inactive
CUST03900,BB00000144,Fiber 499,Fiber,40,2024-01-23,Inactive
CUST04488,BB00000145,Fiber 999,Fiber,200,2025-04-13,Inactive
CUST03239,BB00000146,Fiber 1999,Fiber,500,2023-04-01,Suspended
CUST02975,BB00000147,Fiber 499,Fiber,40,2023-07-21,Suspended
CUST03581,BB00000148,Fiber 799,Fiber,150,2025-04-11,Suspended
CUST02888,BB00000149,Fiber 2499,Fiber,1000,2025-03-15,Active
CUST02576,BB00000150,Fiber 699,Fiber,100,2024-10-09,Suspended
CUST01420,BB00000151,Fiber 1999,Fiber,500,2022-05-18,Suspended
CUST03908,BB00000152,Fiber 1499,Fiber,300,2024-08-28,Suspended
CUST04674,BB00000153,Fiber 1499,Fiber,300,2025-05-08,Suspended
CUST04903,BB00000154,Fiber 799,Fiber,150,2022-06-29,Active
CUST01861,BB00000155,Fiber 2499,Fiber,1000,2024-10-02,Active
CUST00009,BB00000156,Fiber 1999,Fiber,500,2022-02-07,Suspended
CUST02895,BB00000157,Fiber 499,Fiber,40,2023-10-14,Inactive
CUST02848,BB00000158,Fiber 799,Fiber,150,2021-09-10,Suspended
CUST03665,BB00000159,Fiber 499,Fiber,40,2026-06-15,Suspended
CUST00145,BB00000160,Fiber 999,Fiber,200,2021-09-22,Suspended
CUST02105,BB00000161,Fiber 2499,Fiber,1000,2024-06-07,Active
CUST03144,BB00000162,Fiber 999,Fiber,200,2021-11-06,Active
CUST00842,BB00000163,Fiber 699,Fiber,100,2023-01-04,Active
CUST01129,BB00000164,Fiber 799,Fiber,150,2026-01-16,Active
CUST00152,BB00000165,Fiber 799,Fiber,150,2024-12-14,Active
CUST03592,BB00000166,Fiber 1999,Fiber,500,2022-03-20,Suspended
CUST01053,BB00000167,Fiber 1999,Fiber,500,2022-03-12,Suspended
CUST01591,BB00000168,Fiber 1999,Fiber,500,2025-04-29,Suspended
CUST03009,BB00000169,Fiber 799,Fiber,150,2024-10-26,Suspended
CUST02030,BB00000170,Fiber 1499,Fiber,300,2024-10-06,Inactive
CUST03419,BB00000171,Fiber 1499,Fiber,300,2023-07-09,Inactive
CUST01808,BB00000172,Fiber 1999,Fiber,500,2022-06-02,Inactive
CUST02697,BB00000173,Fiber 499,Fiber,40,2024-03-09,Suspended
CUST03040,BB00000174,Fiber 699,Fiber,100,2026-06-26,Inactive
CUST00473,BB00000175,Fiber 799,Fiber,150,2026-05-28,Active
CUST03290,BB00000176,Fiber 799,Fiber,150,2022-03-22,Suspended
CUST04075,BB00000177,Fiber 999,Fiber,200,2025-12-20,Inactive
CUST03497,BB00000178,Fiber 1999,Fiber,500,2023-01-26,Suspended
CUST00280,BB00000179,Fiber 1999,Fiber,500,2024-06-01,Inactive
CUST01742,BB00000180,Fiber 999,Fiber,200,2023-07-28,Suspended
CUST04625,BB00000181,Fiber 2499,Fiber,1000,2021-07-26,Inactive
CUST02887,BB00000182,Fiber 999,Fiber,200,2025-08-14,Active
CUST01942,BB00000183,Fiber 799,Fiber,150,2022-10-17,Suspended
CUST00101,BB00000184,Fiber 799,Fiber,150,2024-03-18,Suspended
CUST02805,BB00000185,Fiber 1499,Fiber,300,2026-04-26,Active
CUST03571,BB00000186,Fiber 1499,Fiber,300,2022-09-11,Active
CUST03685,BB00000187,Fiber 499,Fiber,40,2022-10-31,Suspended
CUST03662,BB00000188,Fiber 1499,Fiber,300,2024-10-06,Suspended
CUST00531,BB00000189,Fiber 2499,Fiber,1000,2023-03-28,Inactive
CUST01887,BB00000190,Fiber 799,Fiber,150,2024-10-16,Suspended
CUST00682,BB00000191,Fiber 799,Fiber,150,2024-03-30,Inactive
CUST03795,BB00000192,Fiber 799,Fiber,150,2023-06-16,Active
CUST03945,BB00000193,Fiber 799,Fiber,150,2025-12-27,Active
CUST04667,BB00000194,Fiber 699,Fiber,100,2023-10-08,Suspended
CUST02019,BB00000195,Fiber 1499,Fiber,300,2022-07-03,Active
CUST01097,BB00000196,Fiber 1499,Fiber,300,2024-02-16,Suspended
CUST00830,BB00000197,Fiber 999,Fiber,200,2024-05-04,Inactive
CUST02806,BB00000198,Fiber 1499,Fiber,300,2025-09-29,Active
CUST03830,BB00000199,Fiber 2499,Fiber,1000,2023-12-11,Suspended
CUST04382,BB00000200,Fiber 499,Fiber,40,2023-07-07,Inactive
CUST03892,BB00000201,Fiber 799,Fiber,150,2026-03-31,Suspended
CUST00765,BB00000202,Fiber 1999,Fiber,500,2025-07-05,Active
CUST02768,BB00000203,Fiber 1999,Fiber,500,2023-06-29,Suspended
CUST04329,BB00000204,Fiber 2499,Fiber,1000,2022-01-22,Suspended
CUST03296,BB00000205,Fiber 2499,Fiber,1000,2026-04-17,Active
CUST02195,BB00000206,Fiber 1999,Fiber,500,2024-03-05,Suspended
CUST02358,BB00000207,Fiber 699,Fiber,100,2023-02-05,Active
CUST03426,BB00000208,Fiber 799,Fiber,150,2026-06-20,Suspended
CUST03980,BB00000209,Fiber 499,Fiber,40,2024-04-11,Inactive
CUST00912,BB00000210,Fiber 2499,Fiber,1000,2022-05-06,Suspended
CUST03146,BB00000211,Fiber 1999,Fiber,500,2025-08-01,Suspended
CUST01000,BB00000212,Fiber 799,Fiber,150,2023-10-19,Active
CUST03654,BB00000213,Fiber 2499,Fiber,1000,2023-01-20,Suspended
CUST02484,BB00000214,Fiber 2499,Fiber,1000,2021-07-11,Active
CUST04077,BB00000215,Fiber 699,Fiber,100,2026-05-12,Suspended
CUST02371,BB00000216,Fiber 799,Fiber,150,2024-01-16,Inactive
CUST04839,BB00000217,Fiber 799,Fiber,150,2023-09-08,Active
CUST00034,BB00000218,Fiber 2499,Fiber,1000,2023-12-17,Inactive
CUST03790,BB00000219,Fiber 499,Fiber,40,2023-02-03,Active
CUST01021,BB00000220,Fiber 699,Fiber,100,2025-03-19,Suspended
CUST01648,BB00000221,Fiber 999,Fiber,200,2022-10-26,Active
CUST00734,BB00000222,Fiber 2499,Fiber,1000,2024-11-19,Active
CUST04583,BB00000223,Fiber 699,Fiber,100,2024-07-01,Suspended
CUST03275,BB00000224,Fiber 999,Fiber,200,2025-11-12,Suspended
CUST01621,BB00000225,Fiber 699,Fiber,100,2022-04-28,Inactive
CUST03136,BB00000226,Fiber 1499,Fiber,300,2022-06-01,Active
CUST02690,BB00000227,Fiber 2499,Fiber,1000,2026-05-09,Suspended
CUST02708,BB00000228,Fiber 499,Fiber,40,2021-08-25,Inactive
CUST00298,BB00000229,Fiber 1499,Fiber,300,2022-02-20,Inactive
CUST02340,BB00000230,Fiber 699,Fiber,100,2022-08-01,Suspended
CUST00654,BB00000231,Fiber 799,Fiber,150,2024-04-21,Suspended
CUST03775,BB00000232,Fiber 799,Fiber,150,2024-01-24,Inactive
CUST01256,BB00000233,Fiber 699,Fiber,100,2024-06-07,Inactive
CUST04521,BB00000234,Fiber 699,Fiber,100,2023-02-24,Active
CUST00231,BB00000235,Fiber 2499,Fiber,1000,2026-03-23,Inactive
CUST03277,BB00000236,Fiber 1999,Fiber,500,2022-07-19,Suspended
CUST03231,BB00000237,Fiber 2499,Fiber,1000,2021-10-05,Active
CUST00692,BB00000238,Fiber 1999,Fiber,500,2024-07-16,Suspended
CUST02755,BB00000239,Fiber 699,Fiber,100,2022-09-02,Inactive
CUST04864,BB00000240,Fiber 999,Fiber,200,2022-05-14,Active
CUST00970,BB00000241,Fiber 999,Fiber,200,2024-01-09,Suspended
CUST00634,BB00000242,Fiber 499,Fiber,40,2025-03-13,Suspended
CUST04093,BB00000243,Fiber 699,Fiber,100,2022-05-25,Active
CUST04078,BB00000244,Fiber 1999,Fiber,500,2026-02-08,Suspended
CUST01322,BB00000245,Fiber 1499,Fiber,300,2023-05-19,Inactive
CUST01832,BB00000246,Fiber 2499,Fiber,1000,2023-03-11,Inactive
CUST02179,BB00000247,Fiber 499,Fiber,40,2025-01-11,Suspended
CUST01418,BB00000248,Fiber 699,Fiber,100,2022-10-16,Active
CUST01783,BB00000249,Fiber 1999,Fiber,500,2021-07-31,Active
CUST04716,BB00000250,Fiber 699,Fiber,100,2026-02-01,Active
CUST04702,BB00000251,Fiber 699,Fiber,100,2024-10-07,Suspended
CUST04119,BB00000252,Fiber 999,Fiber,200,2022-02-02,Active
CUST01653,BB00000253,Fiber 2499,Fiber,1000,2026-02-12,Active
CUST01484,BB00000254,Fiber 799,Fiber,150,2023-04-22,Inactive
CUST02276,BB00000255,Fiber 499,Fiber,40,2026-04-02,Suspended
CUST00878,BB00000256,Fiber 499,Fiber,40,2024-05-03,Active
CUST03526,BB00000257,Fiber 1999,Fiber,500,2026-02-03,Inactive
CUST02017,BB00000258,Fiber 499,Fiber,40,2025-07-16,Active
CUST00427,BB00000259,Fiber 499,Fiber,40,2024-02-16,Active
CUST00627,BB00000260,Fiber 699,Fiber,100,2026-01-04,Suspended
CUST01590,BB00000261,Fiber 1999,Fiber,500,2023-01-08,Inactive
CUST02224,BB00000262,Fiber 999,Fiber,200,2025-08-30,Active
CUST02218,BB00000263,Fiber 1499,Fiber,300,2022-04-11,Inactive
CUST04484,BB00000264,Fiber 1499,Fiber,300,2021-12-30,Inactive
CUST01486,BB00000265,Fiber 1999,Fiber,500,2021-12-18,Active
CUST01740,BB00000266,Fiber 1499,Fiber,300,2022-11-23,Active
CUST02481,BB00000267,Fiber 1999,Fiber,500,2026-04-13,Active
CUST02585,BB00000268,Fiber 499,Fiber,40,2025-07-04,Inactive
CUST02894,BB00000269,Fiber 999,Fiber,200,2025-03-12,Suspended
CUST00150,BB00000270,Fiber 699,Fiber,100,2024-10-16,Inactive
CUST00677,BB00000271,Fiber 1999,Fiber,500,2021-09-18,Inactive
CUST01262,BB00000272,Fiber 499,Fiber,40,2024-12-25,Inactive
CUST04918,BB00000273,Fiber 699,Fiber,100,2026-02-15,Active
CUST00013,BB00000274,Fiber 499,Fiber,40,2022-10-08,Active
CUST01834,BB00000275,Fiber 999,Fiber,200,2025-09-15,Inactive
CUST03249,BB00000276,Fiber 2499,Fiber,1000,2024-12-04,Active
CUST01492,BB00000277,Fiber 2499,Fiber,1000,2025-10-18,Active
CUST02728,BB00000278,Fiber 1499,Fiber,300,2025-07-18,Active
CUST03687,BB00000279,Fiber 1499,Fiber,300,2023-02-14,Active
CUST01425,BB00000280,Fiber 499,Fiber,40,2025-07-24,Suspended
CUST04606,BB00000281,Fiber 499,Fiber,40,2026-04-04,Suspended
CUST04596,BB00000282,Fiber 699,Fiber,100,2025-11-13,Active
CUST00732,BB00000283,Fiber 999,Fiber,200,2022-12-16,Inactive
CUST01232,BB00000284,Fiber 499,Fiber,40,2024-08-12,Active
CUST01635,BB00000285,Fiber 699,Fiber,100,2022-08-17,Suspended
CUST03937,BB00000286,Fiber 1499,Fiber,300,2024-11-04,Active
CUST01211,BB00000287,Fiber 2499,Fiber,1000,2022-10-23,Inactive
CUST03269,BB00000288,Fiber 2499,Fiber,1000,2022-11-23,Suspended
CUST01935,BB00000289,Fiber 999,Fiber,200,2021-10-06,Suspended
CUST00554,BB00000290,Fiber 699,Fiber,100,2022-08-12,Suspended
CUST00492,BB00000291,Fiber 1999,Fiber,500,2024-12-06,Suspended
CUST02963,BB00000292,Fiber 699,Fiber,100,2023-06-22,Active
CUST02330,BB00000293,Fiber 2499,Fiber,1000,2024-07-25,Active
CUST02196,BB00000294,Fiber 1499,Fiber,300,2024-04-19,Active
CUST03065,BB00000295,Fiber 1499,Fiber,300,2025-10-13,Active
CUST00658,BB00000296,Fiber 999,Fiber,200,2026-03-25,Inactive
CUST02375,BB00000297,Fiber 999,Fiber,200,2025-04-10,Suspended
CUST02226,BB00000298,Fiber 799,Fiber,150,2021-11-21,Suspended
CUST04265,BB00000299,Fiber 799,Fiber,150,2025-02-24,Inactive
CUST01171,BB00000300,Fiber 699,Fiber,100,2023-09-29,Suspended
CUST00133,BB00000301,Fiber 799,Fiber,150,2026-05-23,Active
CUST00472,BB00000302,Fiber 799,Fiber,150,2025-09-26,Suspended
CUST03226,BB00000303,Fiber 699,Fiber,100,2024-10-20,Suspended
CUST01406,BB00000304,Fiber 999,Fiber,200,2026-04-14,Inactive
CUST02877,BB00000305,Fiber 699,Fiber,100,2022-05-25,Active
CUST04505,BB00000306,Fiber 799,Fiber,150,2022-01-01,Suspended
CUST04693,BB00000307,Fiber 699,Fiber,100,2025-04-24,Active
CUST02827,BB00000308,Fiber 1999,Fiber,500,2024-08-02,Active
CUST00288,BB00000309,Fiber 2499,Fiber,1000,2026-02-04,Inactive
CUST01870,BB00000310,Fiber 1999,Fiber,500,2024-10-10,Active
CUST03115,BB00000311,Fiber 699,Fiber,100,2022-06-27,Suspended
CUST03626,BB00000312,Fiber 999,Fiber,200,2023-12-13,Suspended
CUST02313,BB00000313,Fiber 999,Fiber,200,2024-09-20,Suspended
CUST04924,BB00000314,Fiber 999,Fiber,200,2022-03-20,Inactive
CUST01619,BB00000315,Fiber 1999,Fiber,500,2024-05-12,Active
CUST00995,BB00000316,Fiber 1499,Fiber,300,2023-03-11,Active
CUST01804,BB00000317,Fiber 2499,Fiber,1000,2023-04-12,Suspended
CUST02643,BB00000318,Fiber 799,Fiber,150,2024-05-20,Active
CUST04803,BB00000319,Fiber 499,Fiber,40,2025-09-19,Active
CUST03536,BB00000320,Fiber 2499,Fiber,1000,2023-11-16,Suspended
CUST04832,BB00000321,Fiber 999,Fiber,200,2022-07-18,Inactive
CUST03912,BB00000322,Fiber 1499,Fiber,300,2026-02-05,Inactive
CUST02108,BB00000323,Fiber 799,Fiber,150,2025-05-18,Suspended
CUST03045,BB00000324,Fiber 2499,Fiber,1000,2023-01-08,Suspended
CUST00417,BB00000325,Fiber 2499,Fiber,1000,2024-04-03,Inactive
CUST00978,BB00000326,Fiber 699,Fiber,100,2023-04-18,Active
CUST02418,BB00000327,Fiber 1999,Fiber,500,2021-09-27,Suspended
CUST00506,BB00000328,Fiber 699,Fiber,100,2025-10-14,Suspended
CUST04153,BB00000329,Fiber 799,Fiber,150,2023-02-13,Suspended
CUST04256,BB00000330,Fiber 2499,Fiber,1000,2025-12-03,Inactive
CUST03942,BB00000331,Fiber 1499,Fiber,300,2022-12-02,Inactive
CUST00415,BB00000332,Fiber 699,Fiber,100,2023-05-31,Suspended
CUST04149,BB00000333,Fiber 999,Fiber,200,2026-01-01,Active
CUST01184,BB00000334,Fiber 699,Fiber,100,2022-05-17,Inactive
CUST00486,BB00000335,Fiber 499,Fiber,40,2022-07-11,Active
CUST00894,BB00000336,Fiber 499,Fiber,40,2026-03-28,Inactive
CUST00806,BB00000337,Fiber 2499,Fiber,1000,2025-03-10,Active
CUST00556,BB00000338,Fiber 1499,Fiber,300,2025-03-22,Suspended
CUST03826,BB00000339,Fiber 699,Fiber,100,2023-06-07,Active
CUST01198,BB00000340,Fiber 1999,Fiber,500,2025-05-05,Active
CUST04254,BB00000341,Fiber 799,Fiber,150,2023-10-02,Inactive
CUST04059,BB00000342,Fiber 1999,Fiber,500,2025-02-10,Active
CUST01294,BB00000343,Fiber 799,Fiber,150,2022-04-03,Active
CUST02222,BB00000344,Fiber 799,Fiber,150,2023-07-19,Suspended
CUST03505,BB00000345,Fiber 799,Fiber,150,2023-04-01,Inactive
CUST03655,BB00000346,Fiber 1999,Fiber,500,2026-05-02,Suspended
CUST04759,BB00000347,Fiber 1999,Fiber,500,2023-12-26,Active
CUST03007,BB00000348,Fiber 799,Fiber,150,2022-07-20,Inactive
CUST02094,BB00000349,Fiber 699,Fiber,100,2024-01-29,Active
CUST02188,BB00000350,Fiber 999,Fiber,200,2025-11-03,Inactive
CUST03037,BB00000351,Fiber 1499,Fiber,300,2021-07-07,Suspended
CUST03919,BB00000352,Fiber 499,Fiber,40,2025-03-14,Suspended
CUST01273,BB00000353,Fiber 799,Fiber,150,2022-12-11,Suspended
CUST00291,BB00000354,Fiber 699,Fiber,100,2022-02-27,Inactive
CUST04828,BB00000355,Fiber 699,Fiber,100,2025-12-17,Active
CUST00253,BB00000356,Fiber 699,Fiber,100,2023-08-16,Inactive
CUST03246,BB00000357,Fiber 2499,Fiber,1000,2023-10-08,Active
CUST00351,BB00000358,Fiber 1499,Fiber,300,2024-09-20,Suspended
CUST01188,BB00000359,Fiber 2499,Fiber,1000,2022-06-11,Suspended
CUST01962,BB00000360,Fiber 1499,Fiber,300,2023-01-24,Inactive
CUST00423,BB00000361,Fiber 799,Fiber,150,2021-12-16,Active
CUST00091,BB00000362,Fiber 1999,Fiber,500,2022-03-31,Inactive
CUST03730,BB00000363,Fiber 1999,Fiber,500,2024-12-20,Active
CUST02237,BB00000364,Fiber 699,Fiber,100,2024-09-10,Inactive
CUST00671,BB00000365,Fiber 1499,Fiber,300,2024-04-09,Inactive
CUST03041,BB00000366,Fiber 2499,Fiber,1000,2023-07-16,Active
CUST00027,BB00000367,Fiber 499,Fiber,40,2023-11-24,Active
